749-80 ,94,NAO SINALIZAR DEVIDA/IMED OBSTACULO CIRCUL/SEGURANCA VEIC/PEDESTRE PISTA/CALCADA 
750-10 ,94,UTILIZAR ONDULACAO TRANSVERSAL/SONORIZADOR FORA PADRAO/CRITERIO ESTAB P/ CONTRAN 
751-01 ,95,INICIAR OBRA PERTURBE/INTERROMPA CIRCULACAO/SEGURANCA VEIC/PEDESTRES S/PERMISSAO 
751-02 ,95,INICIAR EVENTO PERTURBE/INTERROMPA CIRCULAC/SEGURANCA VEIC/PEDESTRES S/PERMISSAO 
752-81 ,95,NAO SINALIZAR A EXECUCAO OU MANUTENCAO DA OBRA 
752-82 ,95,NAO SINALIZAR A EXECUCAO OU MANUTENCAO DO EVENTO 
753-60 ,95,NAO AVISAR COMUNIDADE C/ 48H ANTEC INTERDICAO VIA INDICANDO CAMINHO ALTERNATIVO 
754-41 ,330,FALTA DE ESCRITURACAO LIVRO REGISTRO ENTRADA/SAIDA E DE USO PLACA DE EXPERIENCIA 
754-42 ,330,ATRASO ESCRITURACAO LIVRO REGISTRO ENTRADA/SAIDA E DE USO PLACA DE EXPERIENCIA 
754-43 ,330,FRAUDE ESCRITURACAO LIVRO REGISTRO ENTRADA/SAIDA E DE USO PLACA DE EXPERIENCIA 
754-44 ,330,RECUSA DA EXIBICAO DO LIVRO REGISTRO ENTRADA/SAIDA E DE USO PLACA DE EXPERIENCIA 
755-21 ,ART 244 IX DO CTB ,CONDUZIR MOTOC/MOTON/ EFETUANDO TRANSP REMUN MERCADORIA DESAC C/ ART 139-A C 
755-22 ,ART 244 IX DO CTB ,CONDUZIR MOTOC/MOTON/ EFET TRANSP REMUN DESAC NORMAS ATIVID PROFIC MOTOTAXIS 
901-60 ,DEC 96044/8845IA ,TRANSPORTAR PRODUTO CUJO DESLOC. RODOV. SEJA PROIBIDO PELO MINISTERIO DO TRANSP. 
902-40 ,DEC 96044/8845IB ,TRANSPORTAR PRODUTO PERIGOSO A GRANEL QUE NAO CONSTE DO CERTIFIC. DE CAPACITACAO 
903-20 ,DEC 96044/8845IC ,TRANSPORTAR PRODUTO PERIGOSO A GRANEL DESPROV. DE CERTIFICADO DE CAPACIT. VALIDO 
904-01 ,DEC 96044/8845ID ,TRANSPORTAR JUNTO C/ PRODUTO PERIGOSO PESSOAS/EMBALAGENS DESTIN. A ESTES BENS 
904-02 ,DEC 96044/8845ID ,TRANSPORTAR JUNTO C/ PRODUTO PERIGOSO ANIMAIS/EMBALAGENS DESTIN. A ESTES BENS 
904-03 ,DEC 96044/8845ID ,TRANSPORTAR JUNTO C/ PRODUTO PERIGOSO ALIMENTOS DEST. AO CONSUMO HUMANO/ANIMAL 
904-04 ,DEC 96044/8845ID ,TRANSPORTAR JUNTO C/ PRODUTO PERIGOSO MEDICAM. DEST. AO CONSUMO HUMANO/ANIMAL 
905-90 ,DEC 96044/8845IE ,TRANSPORTAR PRODUTOS INCOMPATIVEIS ENTRE SI APESAR DE ADVERTIDO PELO EXPEDIDOR 
906-71 ,DEC 96044/8845IIA ,NAO DAR MANUTENCAO AO VEICULO 
906-72 ,DEC 96044/8845IIA ,NAO DAR MANUTENCAO AO EQUIPAMENTO 
907-51 ,DEC 96044/8845IIB ,ESTACIONAR COM INOBSERVANCIA AO ARTIGO 14 
907-52 ,DEC 96044/8845IIB ,PARAR COM INOBSERVANCIA AO ARTIGO 14 
908-30 ,DEC 96044/8845IIC ,TRANSPORTAR PRODUTOS CUJAS AS EMBALAGENS SE ENCONTREM EM MAS CONDICOES 
909-11 ,DEC 96044/8845IID ,NAO ADOTAR EM ACIDENTE PROVIDENCIAS CONSTANTES DA FICHA DE EMERGENCIA/ENVELOPE 
909-12 ,DEC 96044/8845IID ,NAO ADOTAR EM AVARIA AS PROVIDENCIAS CONSTANTES DA FICHA DE EMERGENCIA/ENVELOPE 
910-51 ,DEC 96044/8845IIE ,TRANSPORTAR PRODUTO A GRANEL SEM UTILIZAR O TACOGRAFO 
910-52 ,DEC 96044/8845IIE ,TRANSPORTAR PRODUTO A GRANEL E NAO APRESENTAR DISCO A AUTORIDADE COMPETENTE 
911-30 ,DEC96044/8845IIIA ,TRANSPORTAR CARGA MAL ESTIVADA 
912-11 ,DEC96044/8845IIIB ,TRANSPORTAR PRODUTO PERIGOSO EM VEICULO DESPROVIDO DE EQUIPAMENTO P/ EMERGENCIA 
912-12 ,DEC96044/8845IIIB ,TRANSPORTAR PRODUTO PERIGOSO EM VEICULO DESPROVIDO DE EQUIP. DE PROTECAO INDIV. 
913-00 ,DEC96044/8845IIIC ,TRANSPORTAR PROD. PERIG. DESACOMP. DE CERTIFIC. DE CAPAC. P/ TRANSPORTE A GRANEL 
914-80 ,DEC96044/8845IIID ,TRANSPORTAR PROD. PERIG. DESACOMP. DE DECLARACAO DE RESPONSABILIDADE DO EXPEDID. 
915-61 ,DEC96044/8845IIIE ,TRANSPORTAR PRODUTO PERIGOSO DESACOMPANHADO DE FICHA DE EMERGENCIA 
915-62 ,DEC96044/8845IIIE ,TRANSPORTAR PRODUTO PERIGOSO DESACOMPANHADO DE ENVELOPE PARA O TRANSPORTE 
916-41 ,DEC96044/8845IIIF ,TRANSPORTAR PRODUTO PERIGOSO S/ UTILIZAR NAS EMBALAGENS ROTULOS E PAINEIS 
916-42 ,DEC96044/8845IIIF ,TRANSPORTAR PRODUTO PERIGOSO S/ UTILIZAR NO VEICULO ROTULOS E PAINEIS DE SEGUR. 
917-20 ,DEC96044/8845IIIG ,CIRCULAR S/ PERMISSAO EM VIAS PUBLICAS TRANSPORTANDO PRODUTO PERIGOSO 
918-01 ,DEC96044/8845IIIH ,NAO DAR IMEDIATA CIENCIA DA IMOBILIZACAO DO VEICULO EM CASO DE EMERGENCIA 
918-02 ,DEC96044/8845IIIH ,NAO DAR IMEDIATA CIENCIA DA IMOBILIZACAO DO VEICULO EM CASO DE ACIDENTE 
918-03 ,DEC96044/8845IIIH ,NAO DAR IMEDIATA CIENCIA DA IMOBILIZACAO DO VEICULO EM CASO DE AVARIA 
919-90 ,DEC 96044/8846IA ,EMBARCAR NO VEICULO PRODUTOS INCOMPATIVEIS ENTRE SI 
920-21 ,DEC 96044/8846IB ,EMBARCAR PRODUTO PERIGOSO NAO CTE. DO CERTIFICADO DE CAPACITACAO DO VEICULO 
920-22 ,DEC 96044/8846IB ,EMBARCAR PRODUTO PERIGOSO NAO CTE. DO CERTIFICADO DE CAPACITACAO DO EQUIPAMENTO 
921-00 ,DEC 96044/8846IC ,NAO LANCAR NO DOCUMENTO FISCAL AS INFORMACOES DE QUE TRATA O ITEM II DO ART. 22 
922-91 ,DEC 96044/8846ID ,EXPEDIR PRODUTO PERIGOSO MAL ACONDICIONADO 
922-92 ,DEC 96044/8846ID ,EXPEDIR PRODUTO PERIGOSO COM A EMBALAGEM EM MAS CONDICOES 
923-70 ,DEC 96044/8846IE ,NAO COMPARECER AO LOCAL DO ACIDENTE QUANDO EXPRES. CONVOCADO PELA AUTORID. COMP. 
924-51 ,DEC 96044/8846IIA ,EMBARCAR PRODUTO PERIGOSO EM VEICULO QUE NAO DISPONHA DE EQUIPAM. DE EMERGENCIA 
924-52 ,DEC 96044/8846IIA ,EMBARCAR PRODUTO PERIGOSO EM VEICULO QUE NAO DISPONHA DE EQUIPAM. DE PROT. IND. 
925-31 ,DEC 96044/8846IIB ,NAO FORNECER AO TRANSPORT A FICHA DE EMERGENCIA 
925-32 ,DEC 96044/8846IIB ,NAO FORNECER AO TRANSPORT O ENVELOPE PARA O TRANSPORTE 
926-10 ,DEC 96044/8846IIC ,EMBARCAR PRODUTO PERIGOSO EM VEIC. QUE NAO ESTEJA UTILIZANDO ROTULOS E PAINEIS 
927-00 ,DEC 96044/8846IID ,EXPEDIR CARGA FRACIONADA C/ EMBALAGEM EXTERNA DESPROVIDA DOS ROTULOS DE RISCO 
928-80 ,DEC 96044/8846IIE ,EMBARCAR PRODUTO PERIGOSO EM VEICULO OU EQUIPAMENTO S/ CONDICOES DE MANUTENCAO 
929-61 ,DEC 96044/8846IIF ,NAO PRESTAR OS NECESSARIOS ESCLARECIMENTOS TECNICOS EM SITUACAO DE EMERGENCIA 
929-62 ,DEC 96044/8846IIF ,NAO PRESTAR OS NECESSARIOS ESCLARECIMENTOS TECNICOS EM SITUACAO DE ACIDENTE 
