545-27 ,ART 181 VIII DO CTB ,ESTACIONAR AO LADO OU SOBRE GRAMADO OU JARDIM PUBLICO 
546-00 ,ART 181 IX DO CTB ,ESTACIONAR EM GUIA DE CALCADA REBAIXADA DESTINADA A ENTRADA/SAIDA DE VEICULOS 
547-90 ,ART 181 X DO CTB ,ESTACIONAR IMPEDINDO A MOVIMENTACAO DE OUTRO VEICULO 
548-70 ,ART 181 XI DO CTB ,ESTACIONAR AO LADO DE OUTRO VEICULO EM FILA DUPLA 
549-50 ,ART 181 XII DO CTB ,ESTACIONAR NA AREA DE CRUZAMENTO DE VIAS 
550-90 ,ART 181 XIII DO CTB ,ESTACIONAR NO PONTO DE EMBARQUE/DESEMBARQUE DE PASSAGEIROS TRANSPORTE COLETIVO 
551-71 ,ART 181 XIV DO CTB ,ESTACIONAR NOS VIADUTOS 
551-72 ,ART 181 XIV DO CTB ,ESTACIONAR NAS PONTES 
551-73 ,ART 181 XIV DO CTB ,ESTACIONAR NOS TUNEIS 
552-50 ,ART 181 XV DO CTB ,ESTACIONAR NA CONTRAMAO DE DIRECAO 
553-30 ,ART 181 XVI DO CTB ,ESTACIONAR ACLIVE/DECLIVE N FREADO E SEM CALCO SEGURANCA PBT SUPERIOR A 3500KG 
554-11 ,ART 181 XVII DO CTB ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO ESPECIFICADA PELA SINALIZACAO 
554-12 ,ART 181 XVII DO CTB ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - ESTACIONAMENTO ROTATIVO 
554-13 ,ART 181 XVII DO CTB ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - PONTO OU VAGA DE TAXI 
554-14 ,ART 181 XVII DO CTB ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - VAGA DE CARGA/DESCARGA 
554-15 ,ART 181 XVII DO CTB ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - VAGA PORTADOR NECESSID ESPECIAIS 
554-16 ,ART 181 XVII DO CTB ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - VAGA IDOSO 
555-00 ,ART 181XVIII DO CTB ,ESTACIONAR EM LOCAL/HORARIO PROIBIDO ESPECIFICAMENTE PELA SINALIZACAO 
556-80 ,ART 181 XIX DO CTB ,ESTACIONAR LOCAL/HORARIO DE ESTACIONAMENTO E PARADA PROIBIDOS PELA SINALIZACAO 
557-60 ,ART 182 I DO CTB ,PARAR NAS ESQUINAS E A MENOS 5M DO BORDO DO ALINHAMENTO DA VIA TRANSVERSAL 
558-40 ,ART 182 II DO CTB ,PARAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) DE 50CM A 1M 
559-20 ,ART 182 III DO CTB ,PARAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) A MAIS DE 1M 
560-60 ,ART 182 IV DO CTB ,PARAR EM DESACORDO COM AS POSICOES ESTABELECIDAS NO CTB 
561-41 ,ART 182 V DO CTB ,PARAR NA PISTA DE ROLAMENTO DAS ESTRADAS 
561-42 ,ART 182 V DO CTB ,PARAR NA PISTA DE ROLAMENTO DAS RODOVIAS 
561-43 ,ART 182 V DO CTB ,PARAR NA PISTA DE ROLAMENTO DAS VIAS DE TRANSITO RAPIDO 
561-44 ,ART 182 V DO CTB ,PARAR NA PISTA DE ROLAMENTO DAS DEMAIS VIAS DOTADAS ACOSTAMENTO 
562-21 ,ART 182 VI DO CTB ,PARAR NO PASSEIO/CALCADA 
562-22 ,ART 182 VI DO CTB ,PARAR SOBRE FAIXA DESTINADA A PEDESTRES 
562-23 ,ART 182 VI DO CTB ,PARAR NAS ILHAS OU REFUGIOS 
562-24 ,ART 182 VI DO CTB ,PARAR NOS CANTEIROS CENTRAIS 
562-25 ,ART 182 VI DO CTB ,PARAR NOS DIVISORES DE PISTA DE ROLAMENTO E MARCAS DE CANALIZACAO 
563-00 ,ART 182 VII DO CTB ,PARAR NA AREA DE CRUZAMENTO DE VIAS 
564-91 ,ART 182 VIII DO CTB ,PARAR NOS VIADUTOS 
564-92 ,ART 182 VIII DO CTB ,PARAR NAS PONTES 
564-93 ,ART 182 VIII DO CTB ,PARAR NOS TUNEIS 
565-70 ,ART 182 IX DO CTB ,PARAR NA CONTRAMAO DE DIRECAO 
566-50 ,ART 182 X DO CTB ,PARAR EM LOCAL/HORARIO PROIBIDOS ESPECIFICAMENTE PELA SINALIZACAO 
567-31 ,ART 183 DO CTB ,PARAR SOBRE FAIXA DE PEDESTRES NA MUDANCA DE SINAL LUMINOSO 
567-32 ,ART 183 DO CTB ,PARAR SOBRE FAIXA PEDESTRES NA MUDANCA SINAL (FISC.ELETR.) 
568-10 ,ART 184 I DO CTB ,TRANSITAR NA FAIXA/PISTA DA DIREITA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO 
569-00 ,ART 184 II DO CTB ,TRANSITAR NA FAIXA/PISTA DA ESQUERDA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO 
570-30 ,ART 185 I DO CTB ,DEIXAR DE CONSERVAR O VEICULO NA FAIXA A ELE DESTINADA PELA SINALIZACAO DE REGUL 
571-10 ,ART 185 II DO CTB ,DEIXAR DE CONSERVAR NAS FAIXAS DA DIREITA O VEICULO LENTO E DE MAIOR PORTE 
572-00 ,ART 186 I DO CTB ,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA COM DUPLO SENTIDO DE CIRCULACAO 
573-80 ,ART 186 II DO CTB ,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA C/ SINALIZACAO DE REGUL SENTIDO UNICO 
574-61 ,ART 187 I DO CTB ,TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGUL ESTABELECIDA PELA AUTORIDADE 
574-62 ,ART 187 I DO CTB ,TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO 
574-63 ,ART 187 I DO CTB ,TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - VEICULO DE CARGA 
576-20 ,ART 188 DO CTB ,TRANSITAR AO LADO DE OUTRO VEICULO INTERROMPENDO OU PERTURBANDO O TRANSITO 
577-01 ,ART 189 DO CTB ,DEIXAR DE DAR PASSAGEM A VEIC PRECEDIDO DE BATEDORES DEVIDAMENTE IDENTIFICADOS 
577-02 ,ART 189 DO CTB ,DEIXAR DE DAR PASSAGEM A VEIC SOCORRO INCENDIO/SALV SERV URGENCIA DEVID IDENTIF 
577-03 ,ART 189 DO CTB ,DEIXAR DE DAR PASSAGEM A VEIC DE POLICIA EM SERVICO DE URGENCIA DEVID IDENTIF 
577-04 ,ART 189 DO CTB ,DEIXAR DE DAR PASSAGEM A VEIC DE OPERACAO E FISCALIZACAO DE TRANSITO DEVID IDENT 
577-05 ,ART 189 DO CTB ,DEIXAR DE DAR PASSAGEM A AMBULANCIA EM SERVICO DE URGENCIA DEVID IDENTIFICADA 
578-90 ,ART 190 DO CTB ,SEGUIR VEICULO EM SERV URGENCIA DEVID IDENTIFIC P/ ALARME SONORO/ILUM VERMELHA 
579-70 ,ART 191 DO CTB ,FORCAR PASSAGEM ENTRE VEICS TRANSIT SENTIDOS OPOST AO REALIZAR OP ULTRAPASSAGEM 
580-00 ,ART 192 DO CTB ,DEIXAR GUARDAR DIST SEGURANCA LAT/FRONT ENTRE SEU VEIC E DEMAIS E AO BORDO PISTA 
581-91 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM CALCADAS PASSEIOS 
581-92 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM CICLOVIAS CICLOFAIXAS 
581-93 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM AJARDINAMENTOS GRAMADOS JARDINS PUBLICOS 
581-94 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM CANTEIROS CENTRAIS 
581-95 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM ILHAS REFUGIOS 
581-96 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM DIVISORES DE PISTA DE ROLAMENTO MARCAS DE CANALIZ. 
581-97 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM ACOSTAMENTOS 
581-98 ,ART 193 DO CTB ,TRANSITAR COM O VEICULO EM PASSARELAS 
582-70 ,ART 194 DO CTB ,TRANSITAR EM MARCHA RE SALVO NA DISTANCIA NECESSARIA A PEQUENAS MANOBRAS 
583-50 ,ART 195 DO CTB ,DESOBEDECER AS ORDENS EMANADAS DA AUTORID COMPET DE TRANSITO OU DE SEUS AGENTES 
584-31 ,ART 196 DO CTB ,DEIXAR DE INDICAR C/ ANTEC MED GESTO DE BRACO/LUZ INDICADORA INICIO DA MARCHA 
584-32 ,ART 196 DO CTB ,DEIXAR DE INDICAR C/ ANTEC MED GESTO DE BRACO/LUZ INDICADORA MANOBRA DE PARAR 
584-33 ,ART 196 DO CTB ,DEIXAR DE INDICAR C/ ANTEC MED GESTO DE BRACO/LUZ INDICADORA MUDANCA DIRECAO 
584-34 ,ART 196 DO CTB ,DEIXAR DE INDICAR C/ ANTEC MED GESTO DE BRACO/LUZ INDICADORA MUDANCA DE FAIXA 
585-11 ,ART 197 DO CTB ,DEIXAR DE DESLOCAR C/ANTECEDENCIA VEIC P/ FAIXA MAIS A ESQUERDA QDO FOR MANOBRAR 
585-12 ,ART 197 DO CTB ,DEIXAR DE DESLOCAR C/ANTECEDENCIA VEIC P/ FAIXA MAIS A DIREITA QDO FOR MANOBRAR 
586-00 ,ART 198 DO CTB ,DEIXAR DE DAR PASSAGEM PELA ESQUERDA QUANDO SOLICITADO 
587-80 ,ART 199 DO CTB ,ULTRAPASSAR PELA DIREITA SALVO QDO VEIC DA FRENTE DER SINAL P/ ENTRAR ESQUERDA 
588-60 ,ART 200 DO CTB ,ULTRAP PELA DIREITA VEIC DE TRANSP COLETIVO PARADO PARA EMB/DESEMB PASSAGEIROS 
589-40 ,ART 201 DO CTB ,DEIXAR DE GUARDAR A DISTANCIA LATERAL DE 150M AO PASSAR/ULTRAPASSAR BICICLETA 
590-80 ,ART 202 I DO CTB ,ULTRAPASSAR PELO ACOSTAMENTO 
591-61 ,ART 202 II DO CTB ,ULTRAPASSAR EM INTERSECOES 
591-62 ,ART 202 II DO CTB ,ULTRAPASSAR EM PASSAGEM DE NIVEL 
592-41 ,ART 203 I DO CTB ,ULTRAPASSAR PELA CONTRAMAO NAS CURVAS SEM VISIBILIDADE SUFICIENTE 
592-42 ,ART 203 I DO CTB ,ULTRAPASSAR PELA CONTRAMAO NOS ACLIVES OU DECLIVES SEM VISIBILIDADE SUFICIENTE 
593-20 ,ART 203 II DO CTB ,ULTRAPASSAR PELA CONTRAMAO NAS FAIXAS DE PEDESTRE 
594-01 ,ART 203 III DO CTB ,ULTRAPASSAR PELA CONTRAMAO NAS PONTES 
594-02 ,ART 203 III DO CTB ,ULTRAPASSAR PELA CONTRAMAO NOS VIADUTOS 
594-03 ,ART 203 III DO CTB ,ULTRAPASSAR PELA CONTRAMAO NOS TUNEIS 
595-91 ,ART 203 IV DO CTB ,ULTRAPASSAR PELA CONTRAMAO VEICULO PARADO EM FILA JUNTO SINAL LUMINOSO 
595-92 ,ART 203 IV DO CTB ,ULTRAPASSAR PELA CONTRAMAO VEICULO PARADO EM FILA JUNTO A CANCELA/PORTEIRA 
595-93 ,ART 203 IV DO CTB ,ULTRAPASSAR PELA CONTRAMAO VEICULO PARADO EM FILA JUNTO A CRUZAMENTO 
595-94 ,ART 203 IV DO CTB ,ULTRAPASSAR PELA CONTRAMAO VEIC PARADO EM FILA JUNTO QQ IMPEDIMENTO A CIRCULACAO 
596-70 ,ART 203 V DO CTB ,ULTRAPASSAR PELA CONTRAMAO LINHA DE DIVISAO DE FLUXOS OPOSTOS CONTINUA AMARELA 
597-50 ,ART 204 DO CTB ,DEIXAR DE PARAR NO ACOSTAMENTO A DIREITA P/ CRUZAR PISTA OU ENTRAR A ESQUERDA 
598-30 ,ART 205 DO CTB ,ULTRAPASSAR VEICULO EM MOVIMENTO QUE INTEGRE CORTEJO/DESFILE/FORMACAO MILITAR 
