557-60 ,PARAR NAS ESQUINAS E A MENOS 5M DO BORDO DO ALINHAMENTO DA VIA TRANSVERSAL 
558-40 ,PARAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) DE 50CM A 1M 
559-20 ,PARAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) A MAIS DE 1M 
560-60 ,PARAR EM DESACORDO COM AS POSICOES ESTABELECIDAS NO CTB 
561-41 ,PARAR NA PISTA DE ROLAMENTO DAS ESTRADAS 
561-42 ,PARAR NA PISTA DE ROLAMENTO DAS RODOVIAS 
561-43 ,PARAR NA PISTA DE ROLAMENTO DAS VIAS DE TRANSITO RAPIDO 
561-44 ,PARAR NA PISTA DE ROLAMENTO DAS DEMAIS VIAS DOTADAS ACOSTAMENTO 
562-21 ,PARAR NO PASSEIO/CALCADA 
562-22 ,PARAR SOBRE FAIXA DESTINADA A PEDESTRES 
562-23 ,PARAR NAS ILHAS OU REFUGIOS 
562-24 ,PARAR NOS CANTEIROS CENTRAIS 
562-25 ,PARAR NOS DIVISORES DE PISTA DE ROLAMENTO E MARCAS DE CANALIZACAO 
563-00 ,PARAR NA AREA DE CRUZAMENTO DE VIAS 
564-91 ,PARAR NOS VIADUTOS 
564-92 ,PARAR NAS PONTES 
564-93 ,PARAR NOS TUNEIS 
565-70 ,PARAR NA CONTRAMAO DE DIRECAO 
566-50 ,PARAR EM LOCAL/HORARIO PROIBIDOS ESPECIFICAMENTE PELA SINALIZACAO 
567-31 ,PARAR SOBRE FAIXA DE PEDESTRES NA MUDANCA DE SINAL LUMINOSO 
567-32 ,PARAR SOBRE FAIXA PEDESTRES NA MUDANCA SINAL (FISC.ELETR.) 
568-10 ,TRANSITAR NA FAIXA/PISTA DA DIREITA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO 
569-00 ,TRANSITAR NA FAIXA/PISTA DA ESQUERDA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO 
570-30 ,DEIXAR DE CONSERVAR O VEICULO NA FAIXA A ELE DESTINADA PELA SINALIZACAO DE REGUL 
571-10 ,DEIXAR DE CONSERVAR NAS FAIXAS DA DIREITA O VEICULO LENTO E DE MAIOR PORTE 
572-00 ,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA COM DUPLO SENTIDO DE CIRCULACAO 
573-80 ,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA C/ SINALIZACAO DE REGUL SENTIDO UNICO 
574-61 ,TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGUL ESTABELECIDA PELA AUTORIDADE 
574-62 ,TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO 
574-63 ,TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - VEICULO DE CARGA 
576-20 ,"TRANSITAR AO LADO DE OUTRO VEICULO, INTERROMPENDO OU PERTURBANDO O TRANSITO "
577-01 ,DEIXAR DE DAR PASSAGEM A VEIC PRECEDIDO DE BATEDORES DEVIDAMENTE IDENTIFICADOS 
577-02 ,DEIXAR DE DAR PASSAGEM A VEIC SOCORRO INCENDIO/SALV SERV URGENCIA DEVID IDENTIF 
577-03 ,DEIXAR DE DAR PASSAGEM A VEIC DE POLICIA EM SERVICO DE URGENCIA DEVID IDENTIF 
577-04 ,DEIXAR DE DAR PASSAGEM A VEIC DE OPERACAO E FISCALIZACAO DE TRANSITO DEVID IDENT 
577-05 ,DEIXAR DE DAR PASSAGEM A AMBULANCIA EM SERVICO DE URGENCIA DEVID IDENTIFICADA 
578-90 ,SEGUIR VEICULO EM SERV URGENCIA DEVID IDENTIFIC P/ ALARME SONORO/ILUM VERMELHA 
579-70 ,FORCAR PASSAGEM ENTRE VEICS TRANSIT SENTIDOS OPOST AO REALIZAR OP ULTRAPASSAGEM 
580-00 ,DEIXAR GUARDAR DIST SEGURANCA LAT/FRONT ENTRE SEU VEIC E DEMAIS E AO BORDO PISTA 
581-91 ,"TRANSITAR COM O VEICULO EM CALCADAS, PASSEIOS "
581-92 ,"TRANSITAR COM O VEICULO EM CICLOVIAS, CICLOFAIXAS "
581-93 ,"TRANSITAR COM O VEICULO EM AJARDINAMENTOS, GRAMADOS, JARDINS PUBLICOS "
581-94 ,TRANSITAR COM O VEICULO EM CANTEIROS CENTRAIS 
581-95 ,"TRANSITAR COM O VEICULO EM ILHAS, REFUGIOS "
581-96 ,"TRANSITAR COM O VEICULO EM DIVISORES DE PISTA DE ROLAMENTO, MARCAS DE CANALIZ. "
581-97 ,TRANSITAR COM O VEICULO EM ACOSTAMENTOS 
581-98 ,TRANSITAR COM O VEICULO EM PASSARELAS 
582-70 ,"TRANSITAR EM MARCHA RE, SALVO NA DISTANCIA NECESSARIA A PEQUENAS MANOBRAS "
583-50 ,DESOBEDECER AS ORDENS EMANADAS DA AUTORID COMPET DE TRANSITO OU DE SEUS AGENTES 
584-31 ,"DEIXAR DE INDICAR C/ ANTEC, MED GESTO DE BRACO/LUZ INDICADORA, INICIO DA MARCHA "
584-32 ,"DEIXAR DE INDICAR C/ ANTEC, MED GESTO DE BRACO/LUZ INDICADORA, MANOBRA DE PARAR "
